title,rank,date,artist,url,region,chart,trend,streams
Wake Up,1,2021-08-25,Cheese People,https://open.spotify.com/track/5lLuXWPq7zaPxmaS0yrphL,United States,viral50,SAME_POSITION,
Yucky Blucky Fruitcake,1,2021-04-13,Iamdoechii,https://open.spotify.com/track/1j3SdMJfeRJXycCp50boYE,United States,viral50,SAME_POSITION,
SugarCrash!,1,2021-03-13,ElyOtto,https://open.spotify.com/track/3FxPbp05KjMBa4HbhAJTH0,United States,viral50,SAME_POSITION,
SugarCrash!,1,2021-02-13,ElyOtto,https://open.spotify.com/track/3FxPbp05KjMBa4HbhAJTH0,United States,viral50,MOVE_UP,
abcdefu,1,2021-11-28,GAYLE,https://open.spotify.com/track/4fouWK6XVHhzl78KzQ1UjL,United States,viral50,SAME_POSITION,
#BrooklynBloodPop!,1,2021-05-11,SyKo,https://open.spotify.com/track/7K9Z3yFNNLv5kwTjQYGjnu,United States,viral50,SAME_POSITION,
I WANNA BE YOUR SLAVE,1,2021-06-09,Måneskin,https://open.spotify.com/track/4pt5fDVTg5GhEvEtlz9dKk,United States,viral50,SAME_POSITION,
Yucky Blucky Fruitcake,1,2021-04-14,Iamdoechii,https://open.spotify.com/track/1j3SdMJfeRJXycCp50boYE,United States,viral50,SAME_POSITION,
1-800-273-8255,1,2017-05-13,"Logic, Alessia Cara, Khalid",https://open.spotify.com/track/5tz69p7tJuGPeMGwNTxYuV,United States,viral50,SAME_POSITION,
abcdefu,1,2021-11-29,GAYLE,https://open.spotify.com/track/4fouWK6XVHhzl78KzQ1UjL,United States,viral50,SAME_POSITION,
